P_ID,amenity,geometry,Latitude,Longitude,grid number,Slow,Fast,Rapid,Total
257,parking,POINT (-2.962599478352547 56.46349352767577),56.46349353,-2.962599491,228,0,0,0,0
258,parking,POINT (-2.959614728453796 56.46416479760472),56.4641648,-2.959614741,229,0,0,0,0
259,parking,POINT (-2.964131130242926 56.46466069005685),56.46466069,-2.964131143,229,0,0,0,0
260,parking,POINT (-2.95764302005733 56.46385876605992),56.46385877,-2.957643033,229,0,0,0,0
261,parking,POINT (-2.96068388490872 56.46823543125348),56.46823543,-2.960683898,229,0,0,0,0
262,parking,POINT (-2.962789227346009 56.46548890886804),56.46548891,-2.96278924,229,0,0,0,0
263,parking,POINT (-2.95987582601201 56.47096683603178),56.47096684,-2.959875839,230,0,0,0,0
264,parking,POINT (-2.958418806409703 56.47203583777614),56.47203584,-2.958418819,230,0,0,0,0
265,parking,POINT (-2.956536693083327 56.46944222288033),56.46944222,-2.956536706,230,0,0,0,0
266,parking,POINT (-2.964441721200169 56.47224688167252),56.47224688,-2.964441734,230,0,0,0,0
267,parking,POINT (-2.96145526168069 56.47195710611862),56.47195711,-2.961455275,230,0,0,0,0
268,parking,POINT (-2.961195962290171 56.47196344603893),56.47196345,-2.961195975,230,0,0,0,0
269,parking,POINT (-2.959574743967205 56.48689018987532),56.48689019,-2.959574757,233,0,0,0,0
270,parking,POINT (-2.959431292938551 56.48529285645422),56.48529286,-2.959431306,233,0,0,0,0
271,parking,POINT (-2.960097089496005 56.49000352017959),56.49000352,-2.960097102,234,0,0,0,0
272,parking,POINT (-2.955336733871158 56.46124483239917),56.46124483,-2.955336747,242,0,0,0,0
273,parking,POINT (-2.956305501266077 56.48143854670565),56.48143855,-2.956305514,246,0,0,0,0
274,parking,POINT (-2.951854974926306 56.48521287512658),56.48521288,-2.951854988,247,0,0,0,0
275,parking,POINT (-2.948853215692557 56.4843140935044),56.48431409,-2.948853229,247,0,0,0,0
