Point_ID,Latitude,Longitude,grid_number,Slow,Fast,Rapid,Total,Distance,centre_point_x,centre_point_y,bi(not_delete)
236,56.48143855,-2.956305514,246,0,0,0,0,1498.083241,-2.968479968,56.45992007,0
237,56.49012605,-3.006744634,164,0,0,0,0,2953.921109,-2.968479968,56.45992007,0
238,56.46507276,-2.973810223,201,0,0,0,0,449.2134093,-2.968479968,56.45992007,0
240,56.48419191,-3.038840683,107,0,0,0,0,4509.904187,-2.968479968,56.45992007,0
241,56.4844309,-3.032792552,121,0,0,0,0,4170.313962,-2.968479968,56.45992007,0
242,56.48402931,-3.03129008,121,0,0,0,0,4076.589228,-2.968479968,56.45992007,0
243,56.48433321,-2.932923262,275,0,0,0,0,2613.433088,-2.968479968,56.45992007,0
244,56.47472962,-3.034367376,119,0,0,0,0,4091.919638,-2.968479968,56.45992007,0
245,56.49005004,-2.926585171,290,0,0,0,0,3126.848464,-2.968479968,56.45992007,0
246,56.46944222,-2.956536706,230,0,0,0,0,925.5320581,-2.968479968,56.45992007,0
247,56.45423095,-3.033672229,115,0,0,0,0,3965.204586,-2.968479968,56.45992007,0
248,56.47224688,-2.964441734,230,0,0,0,0,785.9762926,-2.968479968,56.45992007,0
249,56.47245299,-3.010869975,146,0,0,0,0,2678.446312,-2.968479968,56.45992007,0
250,56.47867953,-2.888710587,343,0,0,0,0,4965.322493,-2.968479968,56.45992007,0
251,56.48513835,-2.950345423,247,0,0,0,0,1882.114515,-2.968479968,56.45992007,0
252,56.47990806,-2.910493114,316,0,0,0,0,3716.475263,-2.968479968,56.45992007,0
253,56.47703872,-2.891388698,343,0,0,0,0,4784.968653,-2.968479968,56.45992007,0
254,56.48967641,-2.989016176,192,0,0,0,0,2190.731239,-2.968479968,56.45992007,0
255,56.4878486,-2.986989229,191,0,0,0,0,2030.176457,-2.968479968,56.45992007,0
256,56.47549441,-2.980228775,203,0,0,0,0,1182.097776,-2.968479968,56.45992007,0
257,56.46596859,-2.988440762,187,0,0,0,0,1263.792257,-2.968479968,56.45992007,0
258,56.4568456,-2.98748915,185,0,0,0,0,1166.790265,-2.968479968,56.45992007,0
259,56.48078813,-3.023821158,134,0,0,0,0,3583.766365,-2.968479968,56.45992007,0
260,56.47675739,-2.928577546,287,0,0,0,0,2624.240725,-2.968479968,56.45992007,0
261,56.4892861,-2.981351427,206,0,0,0,0,1942.794,-2.968479968,56.45992007,0
262,56.47856778,-2.857339144,399,0,0,0,0,6828.484694,-2.968479968,56.45992007,0
263,56.47685789,-2.865267529,385,0,0,0,0,6337.599537,-2.968479968,56.45992007,0
264,56.47195711,-2.961455275,230,0,0,0,0,844.4767857,-2.968479968,56.45992007,0
265,56.47196345,-2.961195975,230,0,0,0,0,852.8327788,-2.968479968,56.45992007,0
266,56.47764393,-3.034162043,119,0,0,0,0,4122.223066,-2.968479968,56.45992007,0
267,56.47256375,-3.011505442,146,0,0,0,0,2717.277594,-2.968479968,56.45992007,0
268,56.47754873,-3.035470127,119,0,0,0,0,4197.325711,-2.968479968,56.45992007,0
269,56.47743295,-3.040772363,105,0,0,0,0,4507.110522,-2.968479968,56.45992007,0
270,56.476496,-3.0276692,119,0,0,0,0,3724.434939,-2.968479968,56.45992007,0
271,56.47099225,-3.043304135,104,0,0,0,0,4583.186894,-2.968479968,56.45992007,0
272,56.4772142,-2.928260557,287,0,0,0,0,2652.75931,-2.968479968,56.45992007,0
273,56.47729252,-2.929437704,287,0,0,0,0,2589.312489,-2.968479968,56.45992007,0
274,56.47731026,-2.926966453,287,0,0,0,0,2727.215273,-2.968479968,56.45992007,0
275,56.47641535,-2.928146731,287,0,0,0,0,2640.396218,-2.968479968,56.45992007,0
276,56.4799491,-2.922464052,288,0,0,0,0,3040.913248,-2.968479968,56.45992007,0
277,56.47745383,-2.925112567,287,0,0,0,0,2834.406242,-2.968479968,56.45992007,0
278,56.47646473,-2.925345319,287,0,0,0,0,2799.318319,-2.968479968,56.45992007,0
279,56.4837036,-2.950440416,247,0,0,0,0,1808.759847,-2.968479968,56.45992007,0
280,56.47055016,-3.059009881,76,0,0,0,0,5523.161407,-2.968479968,56.45992007,0
281,56.47006251,-3.059802786,76,0,0,0,0,5567.541845,-2.968479968,56.45992007,0
282,56.46362947,-2.969773254,214,0,0,0,0,238.0326473,-2.968479968,56.45992007,0
283,56.48673481,-2.978810988,205,0,0,0,0,1741.20185,-2.968479968,56.45992007,0
284,56.4754742,-2.995156931,175,0,0,0,0,1871.127046,-2.968479968,56.45992007,0
285,56.47588012,-2.995318043,175,0,0,0,0,1892.019717,-2.968479968,56.45992007,0
286,56.474974,-2.996327712,175,0,0,0,0,1918.145245,-2.968479968,56.45992007,0
287,56.47498632,-2.996040679,175,0,0,0,0,1903.221419,-2.968479968,56.45992007,0
288,56.47736782,-2.99510602,175,0,0,0,0,1928.884789,-2.968479968,56.45992007,0
289,56.47726659,-2.996203225,175,0,0,0,0,1981.566338,-2.968479968,56.45992007,0
290,56.46286694,-2.971078516,214,0,0,0,0,238.0654782,-2.968479968,56.45992007,0
